gender_main,song_name,artist_id,main_artist,feat_artist,feat_artist2,gender_feat,gender_feat2,same_gender
male,Thinking out Loud,6eUKZXaKkcviH0Ku9w2n3V,ed sheeran,,,,,1
male,Lego House,6eUKZXaKkcviH0Ku9w2n3V,ed sheeran,,,,,1
male,The A Team,6eUKZXaKkcviH0Ku9w2n3V,ed sheeran,,,,,1
male,This Love,04gDigrS5kc9YWfZHwBETP,maroon 5,,,,,1
male,The Real Slim Shady,7dGJo4pcD2V6oG8kP0tJRR,eminem,,,,,1
male,Lose Yourself,7dGJo4pcD2V6oG8kP0tJRR,eminem,,,,,1
male,Clocks,4gzpq5DPGxSnKTe4SA8HAU,coldplay,,,,,1
male,Yellow,4gzpq5DPGxSnKTe4SA8HAU,coldplay,,,,,1
male,The Scientist,4gzpq5DPGxSnKTe4SA8HAU,coldplay,,,,,1
male,Viva La Vida,4gzpq5DPGxSnKTe4SA8HAU,coldplay,,,,,1
male,Just the Way You Are,0du5cEVh5yTK9QJze8zA0C,bruno mars,,,,,1
male,Locked out of Heaven,0du5cEVh5yTK9QJze8zA0C,bruno mars,,,,,1
male,Gold Digger,"5K4W6rqBFWDnAN6FQUkS6x, 7LnaAXbDVIL75IVPnndf7w",kanye west,jamie foxx,,male,,1
male,Bohemian Rhapsody,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,Another One Bites The Dust,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,We Will Rock You,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,Killer Queen,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,I Want To Break Free,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,Under Pressure,"1dfeR4HaWDbWqFHLkxsg1d, 0oSGxfWSnnOXhD2fKuz2Gy",queen,david bowie,,male,,1
male,Crazy Little Thing Called Love,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,Somebody To Love,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
male,We Are The Champions,1dfeR4HaWDbWqFHLkxsg1d,queen,,,,,1
